排名,升/降,学校名称,英文名称,省市,类型,总分,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,学术人才,重大项目与成果,国际竞争力
77,-8,扬州大学,Yangzhou University,江苏,综合,269.5,25.9,22.8,4.1,36.3,125.1,19.6,3.6,5.1,11.7,15.2
78,9,南昌大学,Nanchang University,江西,综合,268.9,27.3,21.1,3.5,32.2,140.8,18.3,0.3,3.7,7.3,14.3
79,-3,福州大学,Fuzhou University,福建,理工,267.7,28.6,18.6,3.3,35.0,130.8,22.4,5.5,5.4,1.5,16.6
80,0,华北电力大学,North China Electric Power University,北京,理工,263.2,27.1,16.2,4.0,35.0,129.5,17.4,8.7,5.1,6.5,13.6
81,-8,东华大学,Donghua University,上海,理工,262.8,28.9,17.4,3.7,37.8,126.7,17.4,5.3,6.3,4.5,14.9
82,-4,合肥工业大学,Hefei University of Technology,安徽,理工,262.7,26.2,21.3,3.8,36.6,132.7,20.3,2.6,4.3,3.3,11.5
83,1,云南大学,Yunnan University,云南,综合,262.1,29.5,23.0,4.6,31.6,128.2,18.3,0.3,7.9,6.8,11.9
84,-9,宁波大学,Ningbo University,浙江,综合,261.4,27.7,15.4,4.7,37.4,132.7,18.6,1.4,4.6,5.6,13.3
85,0,首都师范大学,Capital Normal University,北京,师范,261.1,29.9,23.1,5.5,38.4,120.4,16.8,0.2,8.0,7.0,11.8
86,-1,湖南师范大学,Hunan Normal University,湖南,师范,259.6,27.9,20.6,3.0,35.2,126.2,19.8,0.3,7.6,7.3,11.7
87,-5,南京工业大学,Nanjing Tech University,江苏,理工,259.5,25.7,14.1,3.7,33.4,123.9,17.6,7.7,6.5,11.3,15.7
88,3,长安大学,Chang'an University,陕西,理工,250.2,28.1,12.7,4.1,39.8,125.7,16.4,10.3,2.0,1.2,9.8
89,13,福建师范大学,Fujian Normal University,福建,师范,248.2,27.0,22.0,3.5,30.6,126.3,15.9,1.0,5.8,5.0,11.2
90,0,安徽大学,Anhui University,安徽,综合,243.1,26.0,19.3,3.3,31.0,128.0,17.1,0.9,3.8,3.3,10.4
91,2,南京信息工程大学,Nanjing University of Information Science & Technology,江苏,理工,240.9,23.5,15.8,3.0,36.4,117.2,16.3,1.9,6.4,3.4,16.9
92,-3,上海理工大学,University of Shanghai for Science and Technology,上海,理工,240.7,28.7,15.7,3.4,33.3,125.3,13.5,6.8,2.5,1.4,10.1
93,-5,华南农业大学,South China Agricultural University,广东,农业,238.3,23.4,18.0,4.6,34.4,109.0,18.5,1.7,5.6,9.9,13.2
94,7,广西大学,Guangxi University,广西,综合,237,27.3,18.3,4.4,35.3,113.3,15.2,2.6,4.2,5.3,11.1
95,1,南京邮电大学,Nanjing University of Posts and Telecommunications,江苏,理工,235.7,25.5,12.6,2.2,34.8,121.0,15.6,2.7,2.9,4.6,13.8
95,-3,燕山大学,Yanshan University,河北,理工,235.7,26.7,15.5,2.7,33.8,125.8,14.2,1.7,3.2,4.0,8.1
97,0,河南大学,Henan University,河南,综合,234.6,24.6,22.6,3.5,33.7,109.0,19.2,2.1,3.9,4.0,12.0
98,-4,湖北大学,Hubei University,湖北,综合,232.9,23.7,14.4,2.8,35.5,120.3,12.1,5.6,3.1,3.5,11.9
99,1,广州大学,Guangzhou University,广东,综合,232.7,23.9,16.9,5.8,37.6,98.8,18.1,4.3,6.4,5.4,15.6
100,8,青岛大学,Qingdao University,山东,综合,231.4,25.2,20.4,2.6,33.4,111.3,16.6,1.1,4.3,2.7,13.8
101,2,湘潭大学,Xiangtan University,湖南,综合,229.9,,,,,,,,,,
102,-7,广东工业大学,Guangdong University of Technology,广东,理工,229.6,,,,,,,,,,
103,1,浙江师范大学,Zhejiang Normal University,浙江,师范,229.2,,,,,,,,,,
104,5,大连海事大学,Dalian Maritime University,辽宁,理工,228.4,,,,,,,,,,
105,-7,上海师范大学,Shanghai Normal University,上海,师范,227.3,,,,,,,,,,
106,-7,杭州电子科技大学,Hangzhou Dianzi University,浙江,理工,226.9,,,,,,,,,,
107,7,武汉科技大学,Wuhan University of Science and Technology,湖北,理工,226.6,,,,,,,,,,
108,7,南京林业大学,Nanjing Forestry University,江苏,林业,225.3,,,,,,,,,,
109,-3,河北工业大学,Hebei University of Technology,天津,理工,223.8,,,,,,,,,,
109,-4,山东师范大学,Shandong Normal University,山东,师范,223.8,,,,,,,,,,
111,0,浙江理工大学,Zhejiang Sci-Tech University,浙江,理工,221.8,,,,,,,,,,
112,4,山西大学,Shanxi University,山西,综合,221,,,,,,,,,,
113,-1,太原理工大学,Taiyuan University of Technology,山西,理工,219.8,,,,,,,,,,
114,3,东北林业大学,Northeast Forestry University - China,黑龙江,林业,218.9,,,,,,,,,,
115,-8,河北大学,Hebei University,河北,综合,217,,,,,,,,,,
116,-4,东北农业大学,Northeast Agricultural University - China,黑龙江,农业,216.3,,,,,,,,,,
117,8,江西师范大学,Jiangxi Normal University,江西,师范,215.5,,,,,,,,,,
117,15,西安建筑科技大学,Xi'an University of Architecture and Technology,陕西,理工,215.5,,,,,,,,,,
119,-10,杭州师范大学,Hangzhou Normal University,浙江,师范,215.2,,,,,,,,,,
120,3,内蒙古大学,Inner Mongolia University,内蒙古,综合,214.9,,,,,,,,,,
121,-1,福建农林大学,Fujian Agriculture and Forestry University,福建,农业,214,,,,,,,,,,
