排名,升/降,学校名称,英文名称,省市,类型,总分,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,学术人才,重大项目与成果,国际竞争力
297,5,重庆科技学院,Chongqing University of Science and Technology,重庆,理工,130.6,,,,,,,,,,
297,25,淮阴工学院,Huaiyin Institute of Technology,江苏,理工,130.6,,,,,,,,,,
297,41,吉林建筑大学,Jilin Jianzhu University,吉林,理工,130.6,,,,,,,,,,
300,-14,中原工学院,Zhongyuan University of Technology,河南,理工,130.4,,,,,,,,,,
301,26,北华大学,Beihua University,吉林,综合,130.2,,,,,,,,,,
301,2,嘉兴学院,Jiaxing University,浙江,综合,130.2,,,,,,,,,,
303,34,临沂大学,Linyi University,山东,综合,129.8,,,,,,,,,,
304,-37,吉首大学,Jishou University,湖南,综合,129.7,,,,,,,,,,
305,-15,景德镇陶瓷大学,Jingdezhen Ceramic Institute,江西,理工,129.5,,,,,,,,,,
306,-11,广东技术师范大学,Guangdong Polytechnic Normal University,广东,师范,129.3,,,,,,,,,,
307,-7,淮北师范大学,Huaibei Normal University,安徽,师范,128.7,,,,,,,,,,
308,1,广东海洋大学,Guangdong Ocean University,广东,农业,128.6,,,,,,,,,,
309,22,长江师范学院,Yangtze Normal University,重庆,师范,128.4,,,,,,,,,,
309,-12,宁波工程学院,Ningbo University of Technology,浙江,理工,128.4,,,,,,,,,,
311,-39,上海海关学院,Shanghai Customs College,上海,综合,128,,,,,,,,,,
312,2,黑龙江八一农垦大学,Heilongjiang Bayi Agricultural University,黑龙江,农业,127.8,,,,,,,,,,
313,9,江西科技师范大学,Jiangxi Science and Technology Normal University,江西,师范,127,,,,,,,,,,
314,30,安阳师范学院,Anyang Normal University,河南,师范,125.9,,,,,,,,,,
314,-10,西南林业大学,Southwest Forestry University,云南,林业,125.9,,,,,,,,,,
316,-32,新疆农业大学,Xinjiang Agricultural University,新疆,农业,125.5,,,,,,,,,,
317,-9,常熟理工学院,Changshu Institute of Technology,江苏,综合,125.2,,,,,,,,,,
318,6,闽南师范大学,Minnan Normal University,福建,师范,124.9,,,,,,,,,,
318,-26,天津城建大学,Tianjin Chengjian University,天津,理工,124.9,,,,,,,,,,
320,-9,福建工程学院,Fujian University of Technology,福建,理工,124.7,,,,,,,,,,
321,-20,沈阳大学,Shenyang University,辽宁,综合,124.5,,,,,,,,,,
322,-15,五邑大学,Wuyi University,广东,综合,124.4,,,,,,,,,,
323,-9,内蒙古科技大学,Inner Mongolia University of Science & Technology,内蒙古,综合,124.2,,,,,,,,,,
324,-27,江苏理工学院,Jiangsu University of Technology,江苏,理工,123.5,,,,,,,,,,
325,-15,上海第二工业大学,Shanghai Second Polytechnic University,上海,理工,123.4,,,,,,,,,,
326,,浙大城市学院,Zhejiang University City College,浙江,理工,123,,,,,,,,,,
327,2,太原科技大学,Taiyuan University of Science and Technology,山西,理工,122.7,,,,,,,,,,
328,25,岭南师范学院,LingNan Normal University,广东,师范,122.6,,,,,,,,,,
329,-12,天津农学院,Tianjin Agricultural University,天津,农业,122.2,,,,,,,,,,
330,16,塔里木大学,Tarim University,新疆,综合,121.5,,,,,,,,,,
331,1,南京晓庄学院,Nanjing XiaoZhuang University,江苏,师范,121.3,,,,,,,,,,
332,-20,大理大学,Dali University,云南,综合,120.9,,,,,,,,,,
332,20,井冈山大学,Jinggangshan University,江西,综合,120.9,,,,,,,,,,
334,-13,湖南理工学院,Hunan Institute of Science and Technology,湖南,理工,120.8,,,,,,,,,,
334,-10,江苏海洋大学,Huaihai Institute of Technology,江苏,理工,120.8,,,,,,,,,,
336,-2,台州学院,Taizhou University,浙江,综合,120.6,,,,,,,,,,
337,-17,闽江学院,Minjiang University,福建,理工,120.4,,,,,,,,,,
338,31,黄冈师范学院,Huanggang Normal University,湖北,师范,120,,,,,,,,,,
339,-4,重庆文理学院,Chongqing University of Arts and Science,重庆,综合,119.9,,,,,,,,,,
339,4,浙江万里学院,Zhejiang Wanli University,浙江,理工,119.9,,,,,,,,,,
341,-1,齐齐哈尔大学,Qiqihar University,黑龙江,综合,119.7,,,,,,,,,,
341,-28,四川轻化工大学,Sichuan University of Science and Engineering,四川,理工,119.7,,,,,,,,,,
343,-13,南昌工程学院,Nanchang Institute of Technology,江西,理工,119.6,,,,,,,,,,
344,-26,天津职业技术师范大学,TianJin University of Technology and Education,天津,师范,119.4,,,,,,,,,,
345,14,上海电机学院,Shanghai Dianji University,上海,理工,119.1,,,,,,,,,,
346,-13,湖北科技学院,Hubei University of Science and Technology,湖北,综合,119,,,,,,,,,,
347,43,陕西理工大学,Shaanxi University of Technology,陕西,理工,118.8,,,,,,,,,,
348,57,内江师范学院,Neijiang Normal University,四川,师范,118.5,,,,,,,,,,
349,-3,合肥师范学院,Hefei Normal University,安徽,师范,118.4,,,,,,,,,,
350,27,阜阳师范大学,Fuyang Normal University,安徽,师范,116.6,,,,,,,,,,
351,9,南阳师范学院,Nanyang Normal University,河南,师范,116.4,,,,,,,,,,
352,3,贵州师范学院,Guizhou Normal College,贵州,师范,116.2,,,,,,,,,,
353,-7,徐州工程学院,Xuzhou Institute of Technology,江苏,理工,115.8,,,,,,,,,,
354,3,洛阳师范学院,Luoyang Normal University,河南,师范,115.4,,,,,,,,,,
354,-26,仲恺农业工程学院,Zhongkai University of Agriculture and Engineering,广东,农业,115.4,,,,,,,,,,
356,20,长春师范大学,Changchun Normal University,吉林,师范,115.2,,,,,,,,,,
357,-19,湖北文理学院,Hubei University of Arts and Science,湖北,综合,114.8,,,,,,,,,,
358,39,宝鸡文理学院,Baoji University of Arts and Sciences,陕西,师范,114.5,,,,,,,,,,
359,41,安徽科技学院,Anhui Science and Technology University,安徽,师范,114.2,,,,,,,,,,
360,-14,长沙学院,Changsha University,湖南,理工,114,,,,,,,,,,
361,7,衡阳师范学院,Hengyang Normal University,湖南,师范,113.8,,,,,,,,,,
362,,无锡学院,"Nanjing University of Information Science and Technology, Binjiang College",江苏,综合,113.3,,,,,,,,,,
363,98,滨州学院,Binzhou University,山东,师范,113.1,,,,,,,,,,
364,-9,长春大学,Changchun University,吉林,综合,112.8,,,,,,,,,,
365,-39,黑龙江科技大学,Heilongjiang University of Science and Technology,黑龙江,理工,112.6,,,,,,,,,,
365,31,泉州师范学院,Quanzhou Normal University,福建,师范,112.6,,,,,,,,,,
367,-26,河北科技师范学院,Hebei Normal University of Science and Technology,河北,师范,112,,,,,,,,,,
368,-14,广西科技大学,Guangxi University of Science and Technology,广西,理工,111.8,,,,,,,,,,
369,-24,江苏第二师范学院,Jiangsu Second Normal University,江苏,师范,111.5,,,,,,,,,,
370,-8,西藏农牧学院,Tibet Agriculture and Animal Husbandry University,西藏,农业,111.1,,,,,,,,,,
371,32,贵州理工学院,Guizhou Institute of Technology,贵州,理工,111,,,,,,,,,,
371,130,咸阳师范学院,Xianyang Normal University,陕西,师范,111,,,,,,,,,,
373,19,九江学院,Jiujiang University,江西,综合,110.8,,,,,,,,,,
374,18,绵阳师范学院,Mianyang Teachers' College,四川,师范,110.6,,,,,,,,,,
375,-8,湖北汽车工业学院,Hubei University of Automotive Technology,湖北,理工,110.5,,,,,,,,,,
376,-25,常州工学院,Changzhou Institute of Technology,江苏,理工,109.7,,,,,,,,,,
377,-41,金陵科技学院,Jinling Institute of Technology,江苏,综合,109.6,,,,,,,,,,
378,9,黑龙江工程学院,Heilongjiang Institute of Technology,黑龙江,理工,109.4,,,,,,,,,,
378,-1,乐山师范学院,Leshan Normal University,四川,师范,109.4,,,,,,,,,,
380,61,潍坊学院,Weifang University,山东,综合,109.2,,,,,,,,,,
381,-23,佳木斯大学,Jiamusi University,黑龙江,综合,108.8,,,,,,,,,,
382,10,唐山师范学院,Tangshan Normal University,河北,师范,108.5,,,,,,,,,,
383,55,山东交通学院,Shandong Jiaotong University,山东,理工,108.4,,,,,,,,,,
384,-18,广东石油化工学院,Guangdong University of Petrochemical Technology,广东,综合,107.6,,,,,,,,,,
384,-23,河北建筑工程学院,Hebei University of Architecture,河北,理工,107.6,,,,,,,,,,
386,-5,湖北工程学院,Hubei Engineering University,湖北,综合,107.4,,,,,,,,,,
387,-24,惠州学院,Huizhou University,广东,综合,107.3,,,,,,,,,,
388,-2,成都工业学院,Chengdu Technological University,四川,理工,107.1,,,,,,,,,,
388,-19,丽水学院,Lishui University,浙江,师范,107.1,,,,,,,,,,
390,52,黄淮学院,Huanghuai University,河南,师范,106.8,,,,,,,,,,
391,14,许昌学院,Xuchang University,河南,理工,106.7,,,,,,,,,,
392,-28,北华航天工业学院,North China Institute of Aerospace Engineering,河北,理工,106.6,,,,,,,,,,
393,-43,湖北第二师范学院,Hubei University of Education,湖北,师范,106.5,,,,,,,,,,
394,-22,湖南第一师范学院,Hunan First Normal University,湖南,师范,106.2,,,,,,,,,,
395,6,湖南文理学院,Hunan University of Arts and Science,湖南,综合,105.9,,,,,,,,,,
396,26,周口师范学院,Zhoukou Normal University,河南,师范,105.7,,,,,,,,,,
397,53,成都师范学院,Chengdu Normal University,四川,师范,105.5,,,,,,,,,,
397,-22,重庆三峡学院,Chongqing Three Gorges University,重庆,综合,105.5,,,,,,,,,,
397,-13,铜仁学院,Tongren University,贵州,综合,105.5,,,,,,,,,,
400,37,遵义师范学院,Zunyi Normal University,贵州,师范,105.4,,,,,,,,,,
401,45,上饶师范学院,Shangrao Normal University,江西,师范,105,,,,,,,,,,
402,8,商丘师范学院,Shangqiu Normal University,河南,师范,104.8,,,,,,,,,,
403,10,宜春学院,Yichun University,江西,综合,104.7,,,,,,,,,,
403,13,浙江水利水电学院,Zhejiang University of Water Resources and Electric Power,浙江,理工,104.7,,,,,,,,,,
405,2,滁州学院,Chuzhou University,安徽,师范,104.6,,,,,,,,,,
406,13,吉林化工学院,Jilin Institute of Chemical Technology,吉林,理工,104.4,,,,,,,,,,
407,26,德州学院,Dezhou University,山东,综合,104.1,,,,,,,,,,
408,-34,肇庆学院,Zhaoqing University,广东,综合,104,,,,,,,,,,
409,71,泰山学院,Taishan University,山东,综合,103.5,,,,,,,,,,
410,-45,广东第二师范学院,Guangdong University of Education,广东,师范,103.2,,,,,,,,,,
411,-27,沈阳工程学院,Shenyang Institute of Engineering,辽宁,理工,102.7,,,,,,,,,,
412,99,榆林学院,Yulin University,陕西,师范,102.3,,,,,,,,,,
413,27,长春工程学院,Changchun Institute of Technology,吉林,理工,102.2,,,,,,,,,,
414,-43,洛阳理工学院,Luoyang Institute of Science and Technology,河南,综合,102,,,,,,,,,,
415,-12,韩山师范学院,Hanshan Normal University,广东,师范,101.3,,,,,,,,,,
416,,河北科技工程职业技术大学,North China Electric Power University Science and Technology College,河北,理工,101.2,,,,,,,,,,
416,104,天水师范学院,Tianshui Normal University,甘肃,师范,101.2,,,,,,,,,,
418,-46,北部湾大学,Beibu Gulf University,广西,综合,101.1,,,,,,,,,,
418,64,西安文理学院,Xi'an University,陕西,师范,101.1,,,,,,,,,,
420,76,齐鲁师范学院,Qilu Normal University,山东,师范,100.9,,,,,,,,,,
420,34,皖西学院,West AnHui University,安徽,师范,100.9,,,,,,,,,,
422,22,哈尔滨学院,Harbin University,黑龙江,综合,100.6,,,,,,,,,,
423,-10,湖南城市学院,Hunan City University,湖南,综合,100.3,,,,,,,,,,
423,61,通化师范学院,Tonghua Normal University,吉林,师范,100.3,,,,,,,,,,
425,-38,防灾科技学院,Institute of Disaster Prevention,河北,理工,100,,,,,,,,,,
426,10,宜宾学院,Yibin University,四川,综合,99.9,,,,,,,,,,
427,,河北工业职业技术大学,Polytechnic College of Hebei University of Science and Technology,河北,理工,99.5,,,,,,,,,,
428,83,兰州城市学院,Lanzhou City University,甘肃,综合,99.4,,,,,,,,,,
429,-46,河南科技学院,Henan Institute of Science and Technology,河南,师范,99.2,,,,,,,,,,
430,38,宁夏师范学院,Ningxia Normal University,宁夏,师范,99,,,,,,,,,,
430,-43,曲靖师范学院,Qujing Normal University,云南,师范,99,,,,,,,,,,
432,61,渭南师范学院,Weinan Normal University,陕西,师范,98.9,,,,,,,,,,
433,-43,玉林师范学院,Yulin Normal University,广西,师范,98.8,,,,,,,,,,
434,,南京特殊教育师范学院,Nanjing Normal University of Special Education,江苏,师范,98.4,,,,,,,,,,
435,-40,华北科技学院,North China Institute of Science and Technology,河北,理工,98.2,,,,,,,,,,
436,2,唐山学院,Tangshan College,河北,理工,98,,,,,,,,,,
437,-26,韶关学院,Shaoguan University,广东,综合,97.9,,,,,,,,,,
438,76,河西学院,HeXi University,甘肃,综合,97.6,,,,,,,,,,
438,21,黄山学院,Huangshan University,安徽,师范,97.6,,,,,,,,,,
440,-59,中国民用航空飞行学院,Civil Aviation Flight University of China,四川,理工,97.3,,,,,,,,,,
441,-39,湖南工程学院,Hunan Institute of Engineering,湖南,理工,97.2,,,,,,,,,,
442,-12,三明学院,Sanming University,福建,综合,96.8,,,,,,,,,,
443,-27,泰州学院,Taizhou University,江苏,师范,96.7,,,,,,,,,,
444,-65,湖北理工学院,Hubei Polytechnic University,湖北,理工,96.5,,,,,,,,,,
444,-64,石家庄学院,Shijiazhuang University,河北,师范,96.5,,,,,,,,,,
446,-37,莆田学院,Putian University,福建,综合,96.3,,,,,,,,,,
447,-28,龙岩学院,Longyan University,福建,综合,96.2,,,,,,,,,,
448,15,内蒙古科技大学包头师范学院,Baotou Teachers' College,内蒙古,综合,96.1,,,,,,,,,,
449,-17,安顺学院,Anshun University,贵州,综合,95.8,,,,,,,,,,
449,20,南昌师范学院,Nanchang Normal University,江西,师范,95.8,,,,,,,,,,
451,8,四川文理学院,Sichuan University of Arts and Science,四川,综合,95.5,,,,,,,,,,
452,-25,廊坊师范学院,Langfang Teachers University,河北,师范,95.2,,,,,,,,,,
452,-25,玉溪师范学院,Yuxi Normal University,云南,师范,95.2,,,,,,,,,,
454,-20,河南城建学院,Henan University of Urban Construction,河南,理工,95.1,,,,,,,,,,
455,-57,重庆第二师范学院,Chongqing University of Education,重庆,师范,95,,,,,,,,,,
456,16,西昌学院,Xichang College,四川,综合,94.9,,,,,,,,,,
457,-49,凯里学院,Kaili University,贵州,综合,94.8,,,,,,,,,,
457,-23,牡丹江师范学院,Mudanjiang Normal University,黑龙江,师范,94.8,,,,,,,,,,
459,-5,四川旅游学院,Sichuan Tourism University,四川,综合,94.6,,,,,,,,,,
460,-62,郑州师范学院,Zhengzhou Normal University,河南,师范,94.4,,,,,,,,,,
461,27,大庆师范学院,Daqing Normal University,黑龙江,综合,94.3,,,,,,,,,,
461,-49,攀枝花学院,Panzhihua University,四川,综合,94.3,,,,,,,,,,
463,-40,昆明学院,Kunming University,云南,综合,94.2,,,,,,,,,,
464,-49,衢州学院,Quzhou University,浙江,理工,94.1,,,,,,,,,,
465,35,白城师范学院,Baicheng Normal University,吉林,师范,93.6,,,,,,,,,,
465,2,吉林工程技术师范学院,Jilin Engineering Normal University,吉林,师范,93.6,,,,,,,,,,
467,12,淮南师范学院,Huainan Normal University,安徽,师范,93.5,,,,,,,,,,
467,,湖州学院,Huzhou University Qiuzhen College,浙江,师范,93.5,,,,,,,,,,
467,-24,嘉应学院,Jiaying University,广东,综合,93.5,,,,,,,,,,
467,-42,南阳理工学院,Nanyang Institute of Technology,河南,理工,93.5,,,,,,,,,,
467,-40,营口理工学院,YingKou Institute of Technology,辽宁,理工,93.5,,,,,,,,,,
472,45,商洛学院,Shangluo University,陕西,综合,93.4,,,,,,,,,,
473,60,陇东学院,Long Dong University,甘肃,师范,92.4,,,,,,,,,,
474,-44,保定学院,Baoding University,河北,师范,92.3,,,,,,,,,,
474,,苏州城市学院,Wenzheng College of Soochow University,江苏,综合,92.3,,,,,,,,,,
476,54,安康学院,Ankang University,陕西,综合,92.2,,,,,,,,,,
477,-23,湖南科技学院,Hunan University of Science and Engineering,湖南,综合,91.7,,,,,,,,,,
477,81,山东管理学院,Shandong Management University,山东,综合,91.7,,,,,,,,,,
479,-61,贵阳学院,Guiyang University,贵州,综合,91.5,,,,,,,,,,
480,-32,辽宁科技学院,Liaoning Institute of Science and Technology,辽宁,理工,91.4,,,,,,,,,,
481,-36,武夷学院,Wuyi University,福建,综合,91.3,,,,,,,,,,
482,-58,鞍山师范学院,Anshan Normal University Liaoning China,辽宁,师范,91.2,,,,,,,,,,
483,9,湘南学院,Xiangnan University,湖南,理工,91.1,,,,,,,,,,
484,-7,六盘水师范学院,Liupanshui Normal University,贵州,师范,90.9,,,,,,,,,,
485,17,河南牧业经济学院,Henan University of Animal Husbandry and Economy,河南,农业,90.7,,,,,,,,,,
485,1,平顶山学院,Pingdingshan University,河南,师范,90.7,,,,,,,,,,
487,11,贺州学院,Hezhou University,广西,综合,90.6,,,,,,,,,,
487,50,兰州工业学院,Lanzhou Institute of Technology,甘肃,理工,90.6,,,,,,,,,,
489,-25,宁德师范学院,Ningde Normal University,福建,师范,90.5,,,,,,,,,,
490,-12,池州学院,Chizhou University,安徽,师范,90.4,,,,,,,,,,
491,-30,黔南民族师范学院,Qiannan Normal College for Nationalities,贵州,师范,90.2,,,,,,,,,,
491,-72,太原师范学院,Taiyuan Normal University,山西,师范,90.2,,,,,,,,,,
493,-5,宿州学院,Suzhou University,安徽,师范,90.1,,,,,,,,,,
494,,山东石油化工学院,"Shengli College, China University of Petroleum",山东,理工,89.8,,,,,,,,,,
495,-26,海南热带海洋学院,Hainan Tropical Ocean University,海南,综合,89.7,,,,,,,,,,
496,3,黑河学院,Heihe University,黑龙江,综合,89.4,,,,,,,,,,
496,26,吉林农业科技学院,Jilin Agricultural Science and Technology University,吉林,农业,89.4,,,,,,,,,,
496,-48,辽东学院,Eastern Liaoning University,辽宁,综合,89.4,,,,,,,,,,
496,-70,山西大同大学,Shanxi Datong University,山西,综合,89.4,,,,,,,,,,
496,68,西安航空学院,Xi'an Aeronautical University,陕西,理工,89.4,,,,,,,,,,
501,39,陕西学前师范学院,Shaanxi Xueqian Normal University,陕西,师范,89.3,,,,,,,,,,
501,7,四川民族学院,Sichuan University for Nationalities,四川,师范,89.3,,,,,,,,,,
503,60,山东农业工程学院,Shandong Agriculture and Engineering University,山东,综合,88.8,,,,,,,,,,
504,-14,蚌埠学院,Bengbu University,安徽,理工,88.3,,,,,,,,,,
505,-2,怀化学院,Huaihua University,湖南,综合,87.9,,,,,,,,,,
506,13,新余学院,Xinyu University,江西,综合,87.8,,,,,,,,,,
507,-22,邵阳学院,Shaoyang University,湖南,理工,87.7,,,,,,,,,,
508,-43,楚雄师范学院,Chuxiong Normal University,云南,师范,87.4,,,,,,,,,,
508,-15,河南工程学院,Henan University of Engineering,河南,理工,87.4,,,,,,,,,,
510,28,济宁学院,Jining University,山东,师范,87.3,,,,,,,,,,
511,-16,喀什大学,Kashi University,新疆,师范,87.2,,,,,,,,,,
512,44,兰州文理学院,Lanzhou University of Arts and Science,甘肃,综合,86.9,,,,,,,,,,
513,-56,赤峰学院,Chifeng University,内蒙古,综合,86.8,,,,,,,,,,
513,33,汉江师范学院,Hanjiang Normal University,湖北,师范,86.8,,,,,,,,,,
515,-42,伊犁师范大学,Yili Normal University,新疆,师范,86.7,,,,,,,,,,
516,-41,贵州工程应用技术学院,Guizhou University of Engineering Science,贵州,师范,86.5,,,,,,,,,,
517,-67,邢台学院,Xingtai University,河北,师范,86.4,,,,,,,,,,
518,-66,邯郸学院,Handan College,河北,师范,86.2,,,,,,,,,,
518,-27,衡水学院,Hengshui University,河北,师范,86.2,,,,,,,,,,
520,8,晋中学院,Jinzhong University,山西,师范,86.1,,,,,,,,,,
521,-38,梧州学院,Wuzhou University,广西,综合,86,,,,,,,,,,
522,25,菏泽学院,Heze University,山东,综合,85.8,,,,,,,,,,
522,-65,红河学院,Honghe University,云南,综合,85.8,,,,,,,,,,
524,38,甘肃民族师范学院,Gansu Normal University for Nationalities,甘肃,师范,85.7,,,,,,,,,,
525,-72,呼伦贝尔学院,Hulunbuir University,内蒙古,综合,85.6,,,,,,,,,,
526,14,山东女子学院,Shandong Women's University,山东,综合,85.4,,,,,,,,,,
527,-9,湖南人文科技学院,"Hunan University of Humanities, Science and Technology",湖南,师范,84.8,,,,,,,,,,
528,-48,广州航海学院,Guangzhou Maritime University,广东,理工,84.6,,,,,,,,,,
528,-82,新乡学院,Xinxiang University,河南,理工,84.6,,,,,,,,,,
530,-20,百色学院,Baise University,广西,综合,84.2,,,,,,,,,,
531,-56,沧州师范学院,Cangzhou Normal University,河北,师范,83.9,,,,,,,,,,
532,2,景德镇学院,Jingdezhen University,江西,综合,83.6,,,,,,,,,,
533,21,福建技术师范学院,Fujian Polytechnic Normal University,福建,师范,83.4,,,,,,,,,,
533,,赣南科技学院,"College of Applied Science, Jiangxi University of Science and Technology",江西,理工,83.4,,,,,,,,,,
533,-60,广西民族师范学院,Guangxi Normal University for Nationalities,广西,师范,83.4,,,,,,,,,,
533,-46,荆楚理工学院,Jingchu University of Technology,湖北,理工,83.4,,,,,,,,,,
537,-32,安阳工学院,Anyang Institute of Technology,河南,理工,83.2,,,,,,,,,,
538,,阿坝师范学院,Aba Teachers University,四川,师范,82.8,,,,,,,,,,
538,-72,信阳农林学院,Xinyang Agriculture and Forestry University,河南,农业,82.8,,,,,,,,,,
540,-44,巢湖学院,Chaohu University,安徽,师范,82.6,,,,,,,,,,
541,-72,河北民族师范学院,Hebei Normal University for Nationalities,河北,师范,82.5,,,,,,,,,,
542,-35,桂林航天工业学院,Guilin University of Aerospace Technology,广西,理工,82.3,,,,,,,,,,
543,14,长治学院,Changzhi University,山西,师范,82.2,,,,,,,,,,
544,-39,河池学院,Hechi University,广西,综合,81,,,,,,,,,,
545,-19,河北环境工程学院,Hebei University of Environmental Engineering,河北,综合,80.9,,,,,,,,,,
546,-43,张家口学院,Zhangjiakou University,河北,综合,80.7,,,,,,,,,,
547,-38,湖南工学院,Hunan Institute of Technology,湖南,理工,80.6,,,,,,,,,,
548,-4,河南工学院,Henan Institute of Technology,河南,理工,80.5,,,,,,,,,,
549,-36,兴义民族师范学院,Xingyi Normal University for Nationalities,贵州,师范,80,,,,,,,,,,
550,-22,绥化学院,Suihua University,黑龙江,综合,79.8,,,,,,,,,,
551,,温州理工学院,Wenzhou University Oujiang College,浙江,师范,79.2,,,,,,,,,,
552,-37,保山学院,Baoshan University,云南,师范,79,,,,,,,,,,
553,-26,山东青年政治学院,Shandong Youth University of Political Science,山东,综合,78.9,,,,,,,,,,
554,-18,长沙师范学院,Changsha Normal University,湖南,师范,78.8,,,,,,,,,,
555,-32,枣庄学院,Zaozhuang University,山东,综合,78.1,,,,,,,,,,
555,-31,郑州工程技术学院,Zhengzhou Institute of Technology,河南,理工,78.1,,,,,,,,,,
557,-25,运城学院,Yuncheng University,山西,师范,77.9,,,,,,,,,,
558,-28,文山学院,Wenshan University,云南,师范,76.9,,,,,,,,,,
559,0,吕梁学院,Luliang University,山西,师范,76.3,,,,,,,,,,
560,-12,新疆工程学院,Xinjiang Institute of Engineering,新疆,理工,75.5,,,,,,,,,,
561,-37,普洱学院,Puer University,云南,师范,75.1,,,,,,,,,,
562,-12,萍乡学院,Pingxiang University,江西,综合,73.2,,,,,,,,,,
563,-4,集宁师范学院,Jining Normal University,内蒙古,师范,72.6,,,,,,,,,,
564,-29,滇西科技师范学院,West Yunnan University,云南,师范,72.2,,,,,,,,,,
565,-49,太原工业学院,Taiyuan Institute of Technology,山西,理工,71.8,,,,,,,,,,
566,-21,新疆理工学院,Xinjiang Institute of Technology,新疆,综合,71.7,,,,,,,,,,
567,,广西科技师范学院,Guangxi Science and Technology Normal University,广西,师范,71.5,,,,,,,,,,
568,-25,昭通学院,Zhaotong University,云南,师范,71.2,,,,,,,,,,
569,-48,忻州师范学院,Xinzhou Teachers University,山西,师范,71.1,,,,,,,,,,
570,,河北石油职业技术大学,Hebei University of Technology City College,河北,理工,70.7,,,,,,,,,,
571,-22,昌吉学院,Changji University,新疆,师范,70.1,,,,,,,,,,
572,-33,琼台师范学院,Qiongtai Normal University,海南,师范,69.8,,,,,,,,,,
573,-23,鄂尔多斯应用技术学院,Ordos Institute of Technology,内蒙古,综合,69.3,,,,,,,,,,
574,-19,黑龙江工业学院,Heilongjiang University of Technology,黑龙江,理工,68.2,,,,,,,,,,
575,,新疆政法学院,College of Science & Technology Shihezi University,新疆,综合,66.9,,,,,,,,,,
576,-26,山西能源学院,Shanxi Institute of Energy,山西,综合,64.9,,,,,,,,,,
577,,赣东学院,"East China Institute of Technology, Yangtze River College",江西,理工,64.2,,,,,,,,,,
578,-25,河套学院,Hetao University,内蒙古,综合,64.1,,,,,,,,,,
579,-13,亳州学院,Bozhou University,安徽,师范,63.6,,,,,,,,,,
580,-38,豫章师范学院,Yuzhang Normal University,江西,师范,62.1,,,,,,,,,,
581,-20,山西工程技术学院,Shanxi Institute of Technology,山西,理工,61.9,,,,,,,,,,
582,-17,太原学院,Taiyuan University,山西,理工,58.2,,,,,,,,,,
